['所属小区:碧桂园城市花园', '房屋户型:3室2厅1卫', '房屋单价:15944元/m²', '所在位置:增城－朱村－朱村街', '建筑面积:94.1平方米', '参考首付:45.00万', '建造年代:2014年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共18层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:豪利花园', '房屋户型:3室2厅1卫', '房屋单价:20929元/m²', '所在位置:花都－镜湖大道－镜湖大道18号', '建筑面积:98平方米', '参考首付:61.50万', '建造年代:2008年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共15层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:豪利花园', '房屋户型:3室2厅1卫', '房屋单价:18347元/m²', '所在位置:花都－镜湖大道－镜湖大道18号', '建筑面积:98.1平方米', '参考首付:54.00万', '建造年代:2013年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共15层)', '装修程度:毛坯', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:恒大绿洲', '房屋户型:5室2厅3卫', '房屋单价:36145元/m²', '所在位置:白云－金沙洲－藤业一路', '建筑面积:332平方米', '参考首付:360.00万', '建造年代:2012年', '房屋朝向:东南', '房屋类型:别墅', '所在楼层:共4层', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:龙吟居', '房屋户型:3室2厅1卫', '房屋单价:10240元/m²', '所在位置:天河－龙洞－天源路1041号', '建筑面积:70.3平方米', '参考首付:21.60万', '建造年代:2006年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共12层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:春庭花园', '房屋户型:3室2厅2卫', '房屋单价:21301元/m²', '所在位置:白云－白云大道北－春庭街2号', '建筑面积:104.2平方米', '参考首付:66.60万', '建造年代:2000年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:中层(共9层)', '装修程度:简单装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:银丰花园', '房屋户型:1室1厅1卫', '房屋单价:23691元/m²', '所在位置:黄埔－黄埔区府－丰乐北路', '建筑面积:54平方米', '参考首付:38.40万', '建造年代:1998年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共9层)', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:其他', '唯一住房:是', '一手房源:否']
['所属小区:中森茗苑', '房屋户型:3室2厅2卫', '房屋单价:16273元/m²', '所在位置:增城－新塘－石新大道168号', '建筑面积:86平方米', '参考首付:42.00万', '建造年代:2017年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:锦江苑二期', '房屋户型:3室2厅2卫', '房屋单价:7778元/m²', '所在位置:南沙－大岗－环城东路', '建筑面积:90平方米', '参考首付:21.00万', '建造年代:2012年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共6层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:祈福新邨青怡居', '房屋户型:3室2厅1卫', '房屋单价:21200元/m²', '所在位置:番禺－祈福－祈福大道', '建筑面积:100平方米', '参考首付:63.60万', '建造年代:2002年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:中层(共6层)', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:万科城市花园', '房屋户型:2室2厅1卫', '房屋单价:35161元/m²', '所在位置:黄埔－文冲－石化路191号', '建筑面积:62平方米', '参考首付:65.40万', '建造年代:2012年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共12层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:中海金沙馨园', '房屋户型:3室2厅2卫', '房屋单价:28441元/m²', '所在位置:白云－金沙洲－环洲三路', '建筑面积:98.5平方米', '参考首付:84.00万', '建造年代:2012年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共18层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:山水庭苑', '房屋户型:5室2厅3卫', '房屋单价:31277元/m²', '所在位置:白云－同和－同和路828号', '建筑面积:297.3平方米', '参考首付:279.00万', '建造年代:2007年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:低层(共6层)', '装修程度:毛坯', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:中海金沙馨园', '房屋户型:3室2厅2卫', '房屋单价:32138元/m²', '所在位置:白云－金沙洲－环洲三路', '建筑面积:96.5平方米', '参考首付:93.00万', '建造年代:2012年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共18层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:实地常春藤', '房屋户型:4室2厅2卫', '房屋单价:24978元/m²', '所在位置:萝岗－萝岗－禾丰路', '建筑面积:136.1平方米', '参考首付:102.00万', '建造年代:2019年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:保利罗兰国际', '房屋户型:2室2厅1卫', '房屋单价:31496元/m²', '所在位置:萝岗－萝岗－开达路', '建筑面积:76.2平方米', '参考首付:72.00万', '建造年代:2016年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共33层)', '装修程度:简单装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:新都盛世名门', '房屋户型:2室2厅1卫', '房屋单价:24055元/m²', '所在位置:增城－新塘－东进东路8号', '建筑面积:75.7平方米', '参考首付:54.60万', '建造年代:2008年', '房屋朝向:北', '房屋类型:普通住宅', '所在楼层:中层(共11层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:中国美林国际社区', '房屋户型:3室2厅2卫', '房屋单价:9014元/m²', '所在位置:花都－山前大道－山前大道168号', '建筑面积:142平方米', '参考首付:38.40万', '建造年代:2012年', '房屋朝向:西北', '房屋类型:普通住宅', '所在楼层:中层(共19层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:广安居', '房屋户型:2室2厅1卫', '房屋单价:11000元/m²', '所在位置:荔湾－荔湾路－西湾东路', '建筑面积:50平方米', '参考首付:16.50万', '建造年代:2012年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:低层(共21层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:中森茗苑', '房屋户型:3室2厅2卫', '房屋单价:17959元/m²', '所在位置:增城－新塘－石新大道168号', '建筑面积:86.3平方米', '参考首付:46.50万', '建造年代:2019年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:中层(共14层)', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:是']
['所属小区:穗和家园', '房屋户型:3室1厅1卫', '房屋单价:12771元/m²', '所在位置:白云－人和－人和大马路', '建筑面积:70.5平方米', '参考首付:27.00万', '建造年代:2016年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共29层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:万科城市花园', '房屋户型:2室2厅1卫', '房屋单价:34677元/m²', '所在位置:黄埔－文冲－石化路191号', '建筑面积:62平方米', '参考首付:64.50万', '建造年代:2007年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共11层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:都湖国际', '房屋户型:2室2厅1卫', '房屋单价:30097元/m²', '所在位置:花都－旧区－新华路96号', '建筑面积:82.4平方米', '参考首付:74.40万', '建造年代:2019年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共28层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:汇美之家', '房屋户型:3室2厅1卫', '房屋单价:9213元/m²', '所在位置:增城－新塘－荔新路1号', '建筑面积:89平方米', '参考首付:24.60万', '建造年代:2014年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共20层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:敏捷绿湖国际城', '房屋户型:3室2厅2卫', '房屋单价:13013元/m²', '所在位置:增城－荔城－增滩路', '建筑面积:101.4平方米', '参考首付:39.60万', '建造年代:2014年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:方圆合景南沙水恋', '房屋户型:3室2厅2卫', '房屋单价:20392元/m²', '所在位置:南沙－黄阁－市南大道', '建筑面积:94.9平方米', '参考首付:58.05万', '建造年代:2019年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共31层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:是']
['所属小区:保利和光晨樾', '房屋户型:3室2厅2卫', '房屋单价:40913元/m²', '所在位置:荔湾－芳村－开拓路', '建筑面积:127.1平方米', '参考首付:156.00万', '建造年代:2017年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:绿茵庭园', '房屋户型:3室2厅2卫', '房屋单价:29869元/m²', '所在位置:番禺－市桥－光明北路233号', '建筑面积:99.1平方米', '参考首付:88.80万', '建造年代:2010年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共18层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:景新花园', '房屋户型:3室2厅2卫', '房屋单价:12031元/m²', '所在位置:增城－荔城－荔城大道442号', '建筑面积:109.7平方米', '参考首付:39.60万', '建造年代:2014年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共20层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:碧桂园城市花园', '房屋户型:3室2厅2卫', '房屋单价:15083元/m²', '所在位置:增城－朱村－朱村街', '建筑面积:96.8平方米', '参考首付:43.80万', '建造年代:2012年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:山海公寓', '房屋户型:2室2厅2卫', '房屋单价:8333元/m²', '所在位置:番禺－钟村－谢村路段45号', '建筑面积:30平方米', '参考首付:7.50万', '建造年代:2010年', '房屋朝向:东', '房屋类型:公寓', '所在楼层:中层(共20层)', '装修程度:精装修', '产权年限:50年', '配套电梯:有', '房本年限:满五年', '产权性质:商住两用', '唯一住房:是', '一手房源:否']
['所属小区:中泰天境花园', '房屋户型:3室2厅1卫', '房屋单价:15331元/m²', '所在位置:萝岗－知识城－九龙大道', '建筑面积:91.3平方米', '参考首付:42.00万', '建造年代:2016年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:石牌村商住楼', '房屋户型:1室1厅1卫', '房屋单价:31556元/m²', '所在位置:天河－珠江新城东－海业路3号', '建筑面积:45平方米', '参考首付:42.60万', '建造年代:2010年', '房屋朝向:南北', '房屋类型:公寓', '所在楼层:低层(共19层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满二年', '产权性质:商住两用', '唯一住房:否', '一手房源:否']
['所属小区:鹤松里', '房屋户型:2室2厅1卫', '房屋单价:17500元/m²', '所在位置:荔湾－芳村－芳村大道中15号', '建筑面积:80平方米', '参考首付:42.00万', '建造年代:2008年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共8层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:山趣轩', '房屋户型:4室2厅2卫', '房屋单价:29808元/m²', '所在位置:番禺－华南－番禺南村镇南大路168号', '建筑面积:140.9平方米', '参考首付:126.00万', '建造年代:2005年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:低层(共18层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:观园壹号', '房屋户型:3室2厅2卫', '房屋单价:11101元/m²', '所在位置:增城－增城周边－观园北街16号', '建筑面积:103.6平方米', '参考首付:34.50万', '建造年代:2016年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:星河丹堤', '房屋户型:4室2厅2卫', '房屋单价:24613元/m²', '所在位置:南沙－金洲－登山路', '建筑面积:129.2平方米', '参考首付:95.40万', '建造年代:2016年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:低层(共28层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:是']
['所属小区:龙归城', '房屋户型:1室1厅1卫', '房屋单价:9186元/m²', '所在位置:白云－龙归－广从公路', '建筑面积:86平方米', '参考首付:23.70万', '建造年代:2013年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:中层(共15层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:敏捷绿湖国际城', '房屋户型:3室2厅2卫', '房屋单价:11193元/m²', '所在位置:增城－荔城－增滩路', '建筑面积:120.6平方米', '参考首付:40.50万', '建造年代:2017年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:秀丽小区', '房屋户型:3室2厅2卫', '房屋单价:11749元/m²', '所在位置:黄埔－黄埔区府－金友街2、6、8、10、12、14、16、18、20、22、24、26号...', '建筑面积:82.6平方米', '参考首付:29.10万', '建造年代:2014年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共20层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:保利碧桂园公园大道', '房屋户型:3室2厅2卫', '房屋单价:46364元/m²', '所在位置:荔湾－芳村－鹤洞路157号', '建筑面积:110平方米', '参考首付:153.00万', '建造年代:2019年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:HOT智能公寓', '房屋户型:2室2厅2卫', '房屋单价:11333元/m²', '所在位置:番禺－市桥－工农大街45号', '建筑面积:45平方米', '参考首付:15.30万', '建造年代:2015年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:中层(共25层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满二年', '产权性质:商住两用', '唯一住房:是', '一手房源:否']
['所属小区:东逸华庭', '房屋户型:3室2厅2卫', '房屋单价:24222元/m²', '所在位置:番禺－市桥－东盛路7号', '建筑面积:90平方米', '参考首付:65.40万', '建造年代:2014年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共26层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:富力金港城东区', '房屋户型:1室1厅1卫', '房屋单价:15152元/m²', '所在位置:花都－花东－金谷北路', '建筑面积:44.9平方米', '参考首付:20.40万', '建造年代:1995年', '房屋朝向:北', '房屋类型:平房', '所在楼层:低层(共18层)', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:佳兆业未来城', '房屋户型:3室2厅2卫', '房屋单价:15268元/m²', '所在位置:黄埔－开发区东－黄埔东路', '建筑面积:76.6平方米', '参考首付:35.10万', '建造年代:2017年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:50年', '配套电梯:有', '房本年限:不满二年', '产权性质:商住两用', '唯一住房:是', '一手房源:是']
['所属小区:绿茵庭园', '房屋户型:3室2厅2卫', '房屋单价:27556元/m²', '所在位置:番禺－市桥－光明北路233号', '建筑面积:90平方米', '参考首付:74.40万', '建造年代:2014年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共26层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:金泽花园', '房屋户型:2室2厅1卫', '房屋单价:12299元/m²', '所在位置:增城－新塘－新塘中路28号', '建筑面积:68.3平方米', '参考首付:25.20万', '建造年代:2014年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共20层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:南沙湾石奥苑', '房屋户型:2室2厅2卫', '房屋单价:31879元/m²', '所在位置:南沙－金洲－港前大道', '建筑面积:120.8平方米', '参考首付:115.50万', '建造年代:2016年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共8层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:大城云山', '房屋户型:3室2厅2卫', '房屋单价:12240元/m²', '所在位置:从化－太平镇－广从南路1033号', '建筑面积:81.7平方米', '参考首付:30.00万', '建造年代:2016年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:高层(共16层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:实地常春藤', '房屋户型:3室2厅2卫', '房屋单价:24747元/m²', '所在位置:萝岗－萝岗－禾丰路', '建筑面积:99平方米', '参考首付:73.50万', '建造年代:2016年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:鸿成花园', '房屋户型:3室2厅2卫', '房屋单价:24777元/m²', '所在位置:番禺－市桥北－富华路55号', '建筑面积:100.9平方米', '参考首付:75.00万', '建造年代:1999年', '房屋朝向:东北', '房屋类型:普通住宅', '所在楼层:中层(共28层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:春鸿居', '房屋户型:2室2厅1卫', '房屋单价:20714元/m²', '所在位置:白云－白云大道北－白云大道北', '建筑面积:70平方米', '参考首付:43.50万', '建造年代:2002年', '房屋朝向:西南', '房屋类型:普通住宅', '所在楼层:中层(共9层)', '装修程度:精装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:黄石花园', '房屋户型:2室2厅1卫', '房屋单价:23913元/m²', '所在位置:白云－黄石－黄石东路', '建筑面积:46平方米', '参考首付:33.00万', '建造年代:1999年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共9层)', '装修程度:简单装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:汇海花园(保利西海岸)', '房屋户型:3室2厅1卫', '房屋单价:31153元/m²', '所在位置:白云－金沙洲－彩滨北路', '建筑面积:83.5平方米', '参考首付:78.00万', '建造年代:2014年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:高层(共26层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:南站星汇', '房屋户型:2室2厅1卫', '房屋单价:12500元/m²', '所在位置:番禺－大石－石北工业近官坑工业二路', '建筑面积:48平方米', '参考首付:18.00万', '建造年代:2018年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共15层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:祈福新邨活力花园', '房屋户型:3室2厅2卫', '房屋单价:24421元/m²', '所在位置:番禺－祈福－市广路与金山大道交汇处', '建筑面积:118.8平方米', '参考首付:87.00万', '建造年代:2006年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共7层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:天誉花园', '房屋户型:3室2厅2卫', '房屋单价:52737元/m²', '所在位置:天河－天河北－林和中路', '建筑面积:110平方米', '参考首付:174.00万', '建造年代:2000年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:富庭东园', '房屋户型:3室1厅1卫', '房屋单价:32258元/m²', '所在位置:番禺－大石－建华路89号', '建筑面积:93平方米', '参考首付:90.00万', '建造年代:2002年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共7层)', '装修程度:简单装修', '产权年限:70年', '配套电梯:无', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:金地香山湖', '房屋户型:3室2厅2卫', '房屋单价:11556元/m²', '所在位置:增城－永和－新新大道15号', '建筑面积:102.1平方米', '参考首付:35.40万', '建造年代:2017年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:丽江花园丽字楼', '房屋户型:2室2厅1卫', '房屋单价:24308元/m²', '所在位置:番禺－大石－新园路', '建筑面积:65平方米', '参考首付:47.40万', '建造年代:1999年', '房屋朝向:东北', '房屋类型:普通住宅', '所在楼层:高层(共9层)', '装修程度:简单装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:中交汇通中心', '房屋户型:2室2厅1卫', '房屋单价:17949元/m²', '所在位置:南沙－大岗－江灵北路', '建筑面积:78平方米', '参考首付:42.00万', '建造年代:2015年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:低层(共32层)', '装修程度:简单装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:雅居乐城南源著', '房屋户型:1室0厅1卫', '房屋单价:29191元/m²', '所在位置:番禺－桥南－南城路723号', '建筑面积:48平方米', '参考首付:42.00万', '建造年代:2016年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:高层(共13层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:源海仙村一号', '房屋户型:3室2厅1卫', '房屋单价:11182元/m²', '所在位置:增城－荔城－仙村大道', '建筑面积:85.9平方米', '参考首付:28.80万', '建造年代:2015年', '房屋朝向:东南', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:不满二年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:是']
['所属小区:石牌村商住楼', '房屋户型:1室1厅1卫', '房屋单价:31111元/m²', '所在位置:天河－珠江新城东－海业路3号', '建筑面积:45平方米', '参考首付:42.00万', '建造年代:2014年', '房屋朝向:南', '房屋类型:公寓', '所在楼层:中层(共20层)', '装修程度:精装修', '产权年限:40年', '配套电梯:有', '房本年限:满五年', '产权性质:商住两用', '唯一住房:是', '一手房源:否']
['所属小区:锦绣银湾', '房屋户型:5室2厅4卫', '房屋单价:41463元/m²', '所在位置:番禺－大石－朝阳东路423-425号', '建筑面积:205平方米', '参考首付:255.00万', '建造年代:2008年', '房屋朝向:南北', '房屋类型:普通住宅', '所在楼层:中层(共28层)', '装修程度:豪华装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
['所属小区:碧桂园荔园', '房屋户型:3室2厅2卫', '房屋单价:16667元/m²', '所在位置:增城－荔城－纬六路12号', '建筑面积:108平方米', '参考首付:54.00万', '建造年代:2008年', '房屋朝向:南', '房屋类型:普通住宅', '所在楼层:中层(共6层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:是', '一手房源:否']
['所属小区:东山水恋', '房屋户型:2室2厅1卫', '房屋单价:64190元/m²', '所在位置:越秀－东湖－大沙头三马路', '建筑面积:73.2平方米', '参考首付:141.00万', '建造年代:2008年', '房屋朝向:西北', '房屋类型:普通住宅', '所在楼层:中层(共32层)', '装修程度:精装修', '产权年限:70年', '配套电梯:有', '房本年限:满五年', '产权性质:商品房住宅', '唯一住房:否', '一手房源:否']
